categoria,tempo_preparo,rendimento,ingredientes
doces-e-sobremesas,40MIN,1 porção,3 latas de leite condensado 2 medidas  da lata  de leite 6 gemas peneiradas 2 colheres sopa de maizena 1 colher sobremesa de baunilha 400 gramas de chocolate meio amargo 1/2 xicara de castanha de caju picado 1 caixa de creme de leite
bolos-e-tortas-doces,50MIN,15 porções,3 ovos 1/2 xicara de oleo 1/2 xicara de amido de milho 1 1/2 xicaras de acucar 1 1/2 xicara de farinha 1/2 xicara de leite 1 colher de sopa de fermento
carnes,90MIN,26 porções,500 g de carne moida patinho ou coxao mole 250 g de trigo para quibe 350 ml de agua fervente 1 cebola pequena picada 2 dentes de alho picados 3 colheres sopa de hortela picada sal e pimenta a gosto
aves,50MIN,6 porções,15 kg de frango ave inteira suco de 1 limao 1 colher sopa de alho picado 2 colheres sopa de margarina 2 colheres sopa de molho de soja 2 caldos de galinha concentrados
peixes-e-frutos-do-mar,MIN,0 porções,1/2kg de bacalhau 12 ovos 6 colheres de maisena 1 colher de cafe de sal 1 lata de ervilhas 1 lata de palmito 200g de azeitona sem caroco
massas,60MIN,45 porções,1 kg de farinha de trigo 3 ovos inteiros 1 copo de leite de vaca morno  1/2 copo de oleo 4 colheres de sopa de acucar 1 colher de sopa de sal 20 g de fermento instantaneo para pao 500 g de batata cozida nao muito mole e espremida 500 g de mortadela triturada no processador ou liquidificador 200 g de requeijao cremoso ou catupiry 1 xicara de cha de cheiro verde 1 xicara de cha azeitonas verdes opcional 2 colheres de sopa de oregano 1 colher de ha de mostarda 2 colheres sopa de molho de tomate opcional  1/2 colher sopa  de oleo
doces-e-sobremesas,60MIN,8 porções,1 litro e meio de leite 1 xicara cha de sagu 1 lata de leite condensado 1 lata de creme de leite 1 pacote 50 g de coco ralado
bolos-e-tortas-doces,40MIN,12 porções,8 bananas d'agua bem madura e grande 3 ovos inteiros 1 xicara de oleo 2 xicaras de acucar 2 xicaras de farinha de rosca 2 colheres cha de fermento em po
carnes,60MIN,8 porções,8 bistecas de porco 2 dentes de alho amassado 1 colher sopa de mostarda 1 colher de cha de colorau 1 colher cha de tempero baiano 100 ml de vinho branco 100 ml de azeite 100 ml suco de laranja ou abacaxi sal a gosto
aves,45MIN,8 porções,1 kg de peito de frango 1 lata de milho verde 1 lata de ervilha champignon a gosto palmito a gosto azeitonas a gosto 2 latas de pomarolla 1 lata creme de leite 3 colheres catchup
peixes-e-frutos-do-mar,50MIN,40 porções,2 kg de bacalhau 1 cebola grande 200 gramas 3 dentes de alho grandes 30 gramas 50 gramas de salsinha 2 gemas de ovo 50 ml de azeite 1 5 kg de batata cozida descascada e espremida 20 gramas de sal
massas,30MIN,28 porções,1 copo de agua 1 kg de farinha de trigo 1 copo de leite 1 xicara de acucar 1 xicara de oleo 3 ovos 1 pitada de sal 2 colheres sopa de fermento para pao 50 g
doces-e-sobremesas,40MIN,8 porções,1 lata de leite condensado a mesma medida de leite 1 lata de creme de leite 1 colher de maizena 1 pacote de biscoito maizena 3 ovos 1 colher de chocolate em po chocolate granulado a gosto
bolos-e-tortas-doces,40MIN,15 porções,1 e 1/2 xicaras cha de leite condensado 1 e 1/2 xicaras cha de creme de leite 1 gema 200 g de chocolate meio amargo picado 1 e 1/2 xicaras cha de leite condensado 1 e 1/2 xicaras cha de creme de leite 1 gema 100 g de coco ralado 2 pacotes de biscoito champagne 1 xicara cha de leite de coco 2 xicaras cha de leite 1 colher sopa de essencia de baunilha
carnes,40MIN,4 porções,500 g de coxao mole cortados em cubo 1 caldo de carne 2 dentes de alho bem picados 2 colheres de sopa de oleo 1 cebola media bem picada 2 folhas de louro 1 pitada de pimenta do reino 1 colher de cha de oregano 2 batatas medias cortada em cubos ou pedacos medios 1 cenoura pequena cortada em rodelas 200 g de molho de tomate 500 ml de agua temperatura ambiente cheiro verde salsinha quanto preferir
aves,25MIN,6 porções,3 colheres sopa de oleo 2 cebolas medias cortadas em rodelas 1 e 1/2 kg de frango 1 e 1/2 xicara cha de agua 2 tabletes de caldo de galinha sal a gosto
peixes-e-frutos-do-mar,50MIN,6 porções,6 caranguejos inteiros que devem ser comprados vivos 1 cebola picada 1 pimentao verde cortado em cubos pequenos 1 tomate grande cortado em cubos pequenos 1 xicara de cha de coentro picado 4 litros de agua 2 colheres de sopa cheias de sal  2 cebolas grandes 2 tomates 2 pimentoes verdes 1 pitada de oregano sal azeite e vinagre a gosto
massas,45MIN,2 porções,1 kg de farinha de trigo 2 copos de agua 30 g de fermento para pao 2 ovos 15 g de sal 1 colher de sobremesa de acucar 3 colheres de sobremesa de margarina
doces-e-sobremesas,40MIN,50 porções,1 lata de leite condensado 100 g de coco ralado sem acucar 1 colher sobremesa de margarina 1 xicara cha de acucar 3 colheres sopa cheias de vinagre branco de alcool
bolos-e-tortas-doces,30MIN,12 porções,3 ovos 1 xicara de cha de milharina 1 lata de milho verde 1 vidro de leite de coco pequeno 1 pacote de coco ralado 1 xicara de leite 1 xicara e meia de cha de acucar 1/2 xicara de cha de oleo 1 colher de sopa de fermento 1 pitada de sal
carnes,20MIN,6 porções,1kg de carne moida 500g de trigo para quibe 2 cebolas picadinhas 1 tomate picado sem sementes hortela picadinho a gosto sal pimenta - do - reino 2 colheres de azeite de oliva
aves,60MIN,4 porções,1 5 kg de frangopedacos; como sobre coxa asinha e coxinha 1/2 lata de cerveja 1 e1/2 cebola grande 1/2 vidro de maionese grande 1 pacotinho de sazon 1 dente alho sal a gostopitada
peixes-e-frutos-do-mar,90MIN,0 porções,peixes pescada bacalhau cacao pode-se fazer com todos juntos batatas azeitonas pretas pimentao verde tomates cebolas ovos cozidos grao de bico azeite de oliva sal e pimenta a gosto suco de limao
massas,30MIN,60 porções,4 xicaras cha de polvilho doce 1 xicara cha de leite 1 xicara cha de agua 1 xicara cha de oleo 1 prato fundo de queijo minas ralado 3 ou 4 ovos sal a gosto
doces-e-sobremesas,10MIN,8 porções,1 lata de leite condensado 1 lata de creme de leite 1 envelope de suco usei morango 2 copos de iogurte natural
bolos-e-tortas-doces,45MIN,6 porções,4 ovos 1/2 xicara de farinha de trigo peneirada 1/2 xicara de acucar 1 lata de leite condensado 1 pacote de coco ralado 100g 1 colher rasa de margarina chantilly para cobertura
carnes,20MIN,2 porções,2 bifes 1 cebola grande picada em rodelas sal a gosto 2 cabecas de alho 4 colheres de maionese 1/2 xicara de agua
aves,15MIN,2 porções,alface americana manga bacon atum azeitonas ovo de codorna palmito abacaxi tomate molho balsamico ou a gosto
peixes-e-frutos-do-mar,15MIN,4 porções,12 sardinhas 1 colher de sopa de azeite 2 colheres de sopa de suco limao sal e pimenta a gosto 1 ramo de alecrim folhas de videira grandes e perfeitas
massas,30MIN,8 porções,2 copos americano de farinha de trigo 1 e 1/2 copo de leite 1/2 copo de oleo 1 colher sopa de fermento em po 2 ovos inteiros sal a gosto oreganos e queijo parmesao ralado o quanto baste para polvilhar por cima da torta queijo presunto e tomate picadinho com oregano atum ou sardinha com cebola picadinha frango desfiado e temperado a gosto palmito
doces-e-sobremesas,185MIN,8 porções,1 caixa leite condensado 1 caixa creme de leite 1 caixinha de maria mole qualquer sabor 250 ml de agua morna 1 xicara de acucar para caramelizar
bolos-e-tortas-doces,60MIN,10 porções,4 ovos 1 copo de suco de laranja 1 copo e meio de acucar 2 copos de farinha de trigo 4 colheres de sopa de oleo raspa de limao 1 pitada de sal 1 colher de sopa de fermento em po 1 lata de creme de leite 1/2 lata de leite 1 colher de sopa de margarina 3 colheres de sopa de acucar raspa de 1 laranja
carnes,30MIN,5 porções,1 kg de costela inteira 1 colher de sopa de sal grosso 1 cebola
aves,35MIN,4 porções,1 frango cortado em pedacos suco de limao sal e pimenta a gosto oleo alho caldo de galinha cebola 2 talos de salsao raspados e cortados em fatias firmes 1 copo de suco de laranja coado e aquecido 1 lata de aspargos em conserva 2 colheres das de sopa de margarina salsinha picada
peixes-e-frutos-do-mar,40MIN,6 porções,1 kg de camarao sem casca e sem cabeca file de camarao temperos secos e verdes a vontade 2 dentes de alho amassados azeite de oliva suficiente para refogar o camarao 3 fatias de queijo prato processado 3 fatias de queijo provolone processado 3 fatias de queijo mussarela processado 1/2 copo de requeijao cremoso 2 caixas de creme de leite sal a gosto 1 colher bem cheia de mostarda 2 colheres de extrato de tomate
massas,40MIN,25 porções,1 caixinha de creme de leite 200 ml 1 copo requeijao de queijo ralado misturei parmesao e mussarela ralada 1 copo requeijao de polvilho usei polvilho doce
doces-e-sobremesas,30MIN,12 porções,1 lata de leite condensado 2 latas de leite  use a lata de leite condensado para essa medida meia xicara cha de maisena 2 tabletes de galak 1 tablete de chocolate opcional para melhor decoracao 1 lata de creme de leite 2 pacotes de biscoito tipo champagne cerejas se preferir para decoracao
bolos-e-tortas-doces,40MIN,12 porções,4 ovos 1 xicara cha de agua 1 xicara e 1/2 cha de acucar 2 xicaras cha de farinha de trigo 1 colher cha de fermento em po 250 g de manteiga sem sal 3 colheres sopa de acucar 3 gemas 1/2 xicara cha de leite condensado 1 lata de creme de leite sem soro 10 colheres sopa de leite em po 18 bombons brancos tipo ouro branco decoracao a gosto
carnes,40MIN,8 porções,6 bifes de alcatra 6 tiras de bacon oleo 1 cebola picada 1 lata de pure de tomate manjerona cheiro verde sal pimenta do reino
aves,130MIN,4 porções,8 sobrecoxas de frango dessossadas e temperadas com sal alho pimenta do reino e limao 1/2 gomo de linguica calabreza cortada em 8 palitos 8 pedacos de azeitona preta 8 pedacos de cebola crua 8 pedacos de tomate seco temperado 1 pimentao verde 1 pimentao vermelho 1 pimentao amarelo 1/2 copo de vinho tinto azeite para regar
peixes-e-frutos-do-mar,40MIN,6 porções, 1/2 kg de camarao medio limpo 1 kg de mandioca 200 ml de leite de coco 1 vidro pequeno 4 colheres sopa de azeite de dende 1 pimentao picado 1 cebola picada 3 dentes de alho picados 4 colheres sopa de azeite 4 colheres sopa de manteiga 2 colheres sopa de coentro picado sal e pimenta vermelha a gosto
massas,2MIN,15 porções,8 colheres de sopa de acucar 3 ovos inteiros 2 colheres de cha de sal 1 colher de fermento de pao a varejo 1 copo de oleo 1 copo de agua morna 1 copo de leite 1 kg de farinha de trigo sem fermento
doces-e-sobremesas,20MIN,8 porções,1 lata de leite condensando 1 lata de creme de leite 1/2 xicara de suco de limao puro sem agua
bolos-e-tortas-doces,60MIN,30 porções,7 ovos 4 xicaras de acucar 4 xicaras de farinha de trigo 2 xicaras de agua 2 colheres de sopa de fermento em po
carnes,10MIN,12 porções,4 xicaras de arroz cozido de preferencia amanhecido 500 g de carne moida 1 pimentao 1 cebola 5 dentes de alho 1 colher de oleo 1 caldo de costela 1 pitada de colorau 5 batatas medias sal a gosto 300 g de queijo mussarela
aves,20MIN,4 porções,4 sobrecoxas 50g de queijo parmesao ralado 1 cebola grande sal a gosto 1 colher de sopa de colorau 3 colheres de sopa de maionese
peixes-e-frutos-do-mar,50MIN,0 porções,coxa e sobre coxa de frango tomate leite de coco catupiri oregano a gosto azeitonas a gosto cebola picada
massas,150MIN,40 porções,1 copo de requeijao 1 copo de leite morno use o copo do requeijao como medida 3 colheres de sopa de acucar 2 colheres de sopa de margarina 1 colher de cha de sal 1 ovo 2 envelopes de fermento biologico 4 e 1/2 copos de farinha de trigo use o copo do requeijao como medida 1 gema para pincelar queijo ralado para polvilhar
doces-e-sobremesas,40MIN,8 porções,1 abacaxi 300 ml de agua 1 xicara de cha bem cheia de acucar 1 colher de cha de gengibre ralado ou a gosto 1 caixinha de gelatina sabor abacaxi 1 lata de creme de leite com soro 1 xicara de cha de agua fria
bolos-e-tortas-doces,40MIN,12 porções,1 lata de leite condensado 1 1/2 lata de leite comum usar a lata de leite condensado como medida 2 gemas 1 colher de sopa cheia de amido de milho 1 colher de cha de essencia de baunilha 1 abacaxi pequeno descascado e picado sem a parte dura 1/2 xicara de cha de acucar 1 colher de cha de gengibre ralado 2 claras 1 xicara de cha de acucar 1/2 xicara de cha de agua 1 colher de sopa de suco de limao 1 pacote de biscoito champagne 150 g de coco fresco ralado grosso
carnes,90MIN,6 porções,1 lagarto de aproximadamente 1 kg 1 limao para passar nele ao limpa-lo 5 dentes de alho amassadinhos 4 colheres sopa de cebola granulada 3 folhas de louro 4 tabletes de caldo natural 4 colheres de oleo 2 colheres de salsa 2 macos de cebolinhas maceradas no azeite coloque uma colher de sopa de azeite e amasse a salsa e a cebolinha nele agua o suficiente para ir se colocando aos poucos ate que ele fique cozido 12 batatinhas ou 6 batatas grandes cozidas al dente e cortadas meio
aves,30MIN,5 porções,1 kg de frango desfiado 1 pacote de molho de tomate cebola picada alho sal a gosto mostrada ketchup molho de pimenta pimenta siria em po 1/2 kg de batatas cozidas e espremidas 1 copo de requeijao 300 g de mussarela oregano a gosto vinagre pimenta do reino cheiro verde a gosto um fio de azeite
peixes-e-frutos-do-mar,90MIN,4 porções,1 5 kg de peixe badejo robalo papaterra dourado namorado ou cacao 3 macos de coentro 3 macos de cebolinha verde 1 cebola media 3 dentes de alho 4 tomates pimenta malagueta azeite de oliva urucum oleo de soja
massas,50MIN,8 porções,1 rolo grande de massa para pastel 300 g de mussarela fatiada 300 g de presunto fatiado salada feita com tomate cebola cheiro verde milho verde oregano maionese para pincelar o rocambole
doces-e-sobremesas,20MIN,6 porções,1 caixa de gelatina de morango ou de sua preferencia dr oetker 250 ml de agua quente 1 lata de leite condensado 1 caixa de creme de leite ou 1 lata de creme de leite sem soro
bolos-e-tortas-doces,50MIN,10 porções,4 ovos 3 cenouras medias cozidas 2 xicaras de cha de acucar 2 xicaras de cha de farinha de trigo 3 colheres de sopa de margarina 1 colher de sopa de fermento em po 6 colheres de sopa de chocolate em po 1 colher de sopa de margarina 3 colheres de sopa de acucar 1/2 xicara de cha de leite 1 colher de sopa de farinha de trigo
carnes,30MIN,10 porções,2 xicaras de farinha de trigo 1 xicara de oleo obs menos dois dedos para encher 3 colheres de queijo ralado 1 xicara de leite 1 pitada de sal 2 ovos carne moida cozida sem molho temperada opcao ervilha presunto milho verde
aves,25MIN,5 porções,1 peito de frango desossado cortado em bifes e temperado a gosto 1 abacaxi cortado em fatias 200 g de queijo minas 1 lata de molho de tomate pomarola oregano
peixes-e-frutos-do-mar,20MIN,10 porções,1 kg de bacalhau 1 kg de batatinha do reino 100 g de margarina 50 g de queijo parmesao 3 dentes de alho 3 tomates sem pele maduros folhas de salsa 2 cebolas brancas 2 ovos algumas azeitonas 1 lata de creme de leite 1 vidro de maionese pequeno 3 colheres de azeite doce
massas,120MIN,20 porções,30 g de fermento biologico 3 ovos 1 lata de leite condensado a mesma medida de leite de vaca morno 1/2 medida da lata do leite condensado de oleo 1 pitada de sal 2 colheres de acucar cristal aproximadamente 1 kg de farinha de trigo 100 g de coco ralado 1/2 litro de leite 1 xicara de acucar
doces-e-sobremesas,60MIN,20 porções,1 abacaxi grande descascado e cortado em cubinhos 5 ovos 1 lata de creme de leite sem soro 1 lata de leite condensado 1 lata de leite use a lata do leite condensado como medida 2 colheres de sopa de maizena 2 xicaras de cha de acucar
bolos-e-tortas-doces,90MIN,40 porções,5 ovos 2 xicaras cha de acucar 2 xicaras cha de farinha de trigo 1 xicara cha de leite quente 1 colher sopa de fermento em po 1/2 litro de leite 1 lata de leite condensado 1 lata de creme de leite 3 gemas 3 colheres de amido de milho 2 caixinhas de morango 2 caixinhas de chantilly amelia 1 caixinha de morango
carnes,90MIN,8 porções,1 peca de fraldinha de 2 kg mais ou menos 1 pacotinho 500 g de sal grosso
aves,60MIN,4 porções,1 kg de coxa e sobrecoxa de frango 2 cubinhos de caldo de frango 2 limoes 2 colheres sopa de manteiga 2 colheres sopa de farinha de rosca 1/2 xicara de queijo ralado
peixes-e-frutos-do-mar,20MIN,4 porções,pure de 4 batatas grandes 1 lata de atum 1 tomate medio sem pele e sem sementes 1 cebola media picadinha 2 dentes de alho 3 colheres de sopa de extrato de tomate 300g de queijo prato mussarella ou outro de sua preferencia cheiro verde picado coentro e salsa sal a gosto 1 fio de oleo palmito e azeitona se desejar queijo ralado para gratinar
massas,120MIN,20 porções,1 lata de leite condensado 1 lata de leite 1/2 lata de oleo 4 ovos 1 pitada de sal 50 g de fermento 1 colher de margarina 2 colheres de acucar 1/2 xicara de leite morno
doces-e-sobremesas,20MIN,10 porções,1 pacote 200g de biscoito wafle morango ou chocolate suco de 1 laranja 160g de suspirinho merenguinho assado 500g de morangos picados separe alguns p/ enfeitar 300g de creme de leite fresco nata 5 colheres de sopa de acucar de confeiteiro creme 1 lata de leite condensado 2 xicaras de leite 2 gemas peneiradas 1 colher de sopa de acucar de baunilha 2 colheres de sopa de amido de milho decoracao chocolate granulado branco 6 morangos inteiros
bolos-e-tortas-doces,60MIN,12 porções,1 pacote de biscoito maisena 1/2 xicara de margarina 700 ml de leite 1 lata de leite condensado 2 colheres de essencia de baunilha 4 colheres de amido de milho 2 gemas peneiradas 1 lata de creme de leite 2 caixas de morangos 1 pacote de gelatina de morango
carnes,90MIN,6 porções,2 kg de pernil 5 dentes de alho suco de 3 limao pimenta do reino a gosto tempero completo
aves,45MIN,7 porções,1 peito de frango grande cozido e desfiado sem osso e pele 3 copos de requeijao cremoso 2 pacotes medios de batata palha 1 tomate maduro sem pele picado 1 cebola media picada 1 pimentao picado 1 lata de milho verde 1 xicara de azeitonas fatiadas 1 xicara de palmito temperos a gosto
peixes-e-frutos-do-mar,45MIN,4 porções,4 postas de bacalhau 4 colheres de sopa de farinha batatas sal pimenta gotas de vinagre 2 gemas de ovo
massas,50MIN,18 porções,5 xicaras de farinha de trigo aproximadamente 2 ovos 1/2 xicara de oleo 1 envelope de fermix fermento biologioco 1 xicara de agua ou leite morno 1 colher cha de sal 2 colheres sopa rasas de acucar 1 cebola media 1 gema para pincelar
doces-e-sobremesas,6MIN,45 porções,1 lata de leite condensado 1 colher de sopa de margarina ou manteiga 1/2 xicara de coco ralado cravo para enfeite
bolos-e-tortas-doces,60MIN,12 porções,6 bananas nanicas 1 xicara de cha de acucar 1 1/2 xicara de cha de trigo 1 colher de sopa de canela em po 3 colheres de sopa de manteiga ou margarina em temperatura ambiente 4 ovos 3 colheres de sopa de manteiga 2 xicaras de cha de farinha de trigo 1 xicara de cha de amido de milho 1 colher de sopa de fermento em po 3/4 xicara de cha de leite 2 xicaras de cha de acucar manteiga e farinha de trigo para untar e polvilhar
carnes,30MIN,6 porções,2 xicaras de cha de pure de batata 2 xicaras de cha de carne moida refogada 3 colheres de sopa de farinha de trigo 2 colheres de sopa de queijo parmesao ralado salsinha e oregano a gosto farinha de rosca para passar oleo para fritar
aves,40MIN,15 porções,8 batatas medias cozidas na agua e sal com casca 200 g de mussarela em quadradinhos 1 quilo de file de peito de frango 1/2 copo de requeijao 1 caixinha de creme de leite 300 g de peito de chester defumado picado em quadradinhos batata palha para enfeitar 1 cebola picadinha
peixes-e-frutos-do-mar,40MIN,8 porções,2 colheres de sopa de oleo 1 cebola picada 3 colheres de sopa de molho de alho 1 pimenta de cheiro 2 xicaras de cha de arroz ja lavado e seco 1 xicara de cha de leite de coco 3 xicaras de cha de caldo de camarao 3 colheres de sopa de oleo 1 cebola bem picada 1 pimentao bem picado 2 pimentas de cheiro picadas 2 tomates sem pele e sem sementes e picados 1 xicara de cha de leite de coco 1 xicara de cha de caldo de camarao colorau molho de alho 1 colher de sopa de farinha de trigo cheiro verde 1 colher de cha de azeite de dende 800 g de camarao
massas,30MIN,10 porções,1 colher de oleo tempero e sal a gosto 2 caldos de carne 2 cebolas raladas 2 latas de molho de tomate 4 latas de agua utilizar a lata do molho de tomate para medir a agua 2 latas de creme de leite 500 g de macarrao penne 300 g de mussarela fatiada
doces-e-sobremesas,20MIN,20 porções,1 lata de leite condensado 1 lada de creme de leite 1 lata de suco de maracuja concentrado 1 xicara de acucar 1/2 xicara de agua 2 maracujas polpa
bolos-e-tortas-doces,60MIN,12 porções,4 xicaras de farinha de trigo 2 xicaras de acucar 1 xicara de leite 4 ovos 2 colheres sopa de manteiga ou margarina 2 colheres sopa de fermento em po farofa 1 xicara de acucar 1/2 xicara de farinha de trigo canela em po 1 ou 2 colheres de margarina ou manteiga
carnes,60MIN,40 porções,500 g de trigo para kibe 500 g de carne moida patinho de preferencia 750 ml de agua fervendo 2 cebolas ralada ou bem picadinha hortela pimenta-de-cheiro e sal a gosto
aves,80MIN,8 porções,1 peito de frango mussarela bacon presunto vinagre sal misturado com alho amassado pimenta do reino salsa desidratada molho de alho molho ingles condimento sazon ou equivalente agua
peixes-e-frutos-do-mar,40MIN,8 porções,1 kg de file de merlusa ou pescado suco de 2 limoes 1 vidro pequeno de leite de coco 2 colheres de azeite de dende 4 tomates em rodelas 2 cebolas medias em rodelas 1 pimenta dedo de moca a gosto 2 pimentoes verdes em rodelas cheiro verde cebolinha 1 tablete de caldo de camarao 1/2 kg de camarao seco sal pimenta do reino molho de tomate 2 dentes de alho 1/2 copo de agua 2 ovos 1 xicara de farinha de trigo 2 xicaras de oleo 2 colheres de azeite azeitonas a gosto
massas,11MIN,5 porções,250g de espaguete pene ou fusili 1 abobrinha pequena picada 3 colheres de azeite ou 2 de manteiga 200 g creme de leite alho e cebola a gosto pimenta do reino a gosto opcional sal a gosto 1 pacotinho de queijo ralado noz moscada opcional
doces-e-sobremesas,60MIN,20 porções,biscoito tipo champagne 1 lata de condensado 1 lata de leite 3 gemas 1 colher de amido de milho 2 latas de leite 6 colheres de achocolatado 1 colher de amido de milho 3 colheres de acucar 3 claras 1 lata de creme de leite sem soro acucar a gosto
bolos-e-tortas-doces,90MIN,15 porções,4 ovos inteiros 2 xicaras cha de acucar 2  1/2 copo de farinha de trigo 1 copo de leite 3 colheres sopa bem cheia de margarina 4 colheres cafe de fermente em po gotas de baunilha recheio de leite em po 1 lata de leite condensado 1 lata de creme de leite 250 gramas de manteiga sem sal 10 colheres de leite em po
carnes,120MIN,10 porções,10 carres suinos 3 limoes 1 1/2 copo americano de agua 7 dentes de alho 3 cebolas medias sal a gosto oregano 3 caldos de bacon extrato de tomate
aves,50MIN,8 porções,duas xicaras de farinha de trigo quatro colheres de sopa de margarina uma caixinha de creme de leite um peito de frango cozido com um cubo de caldo de galinha caipira e alecrim;desfiado 100 gr de azeitonas picadas 100 gr de de cogumelos dois ovos cozidos e picados uma lata de milho verde cozido no vapor uma lata de ervilhas quatro colheres de sopa de creme de leite sem o soro duas colheres de cha de maizena dissolvida em meia xicara de leite tres colheres de cha de azeite uma cebola pequena picada
peixes-e-frutos-do-mar,120MIN,6 porções,3 duzias de caranguejo limpos sem carapaca 200 g de alho picado 8 cebolas grandes cortadas em rodelas 8 tomates bem maduros cortados em rodelas 8 pimentoes verdes e vermelhos cortados em rodelas 1 maco de salsinha cheiro verde picado 1 maco de alho poro picado 1 xicara de coentro picado 2 cubos de caldo de peixe knor 500 ml de azeite 1 colher de azeite de dende ou a gosto 10 pimentas dedo de moca ou mais forte 1 lata de molho de tomate refogado 4 latas de cerveja sal a gosto
massas,80MIN,2 porções,1/2 kg de farinha de trigo 15 g de fermento biologico 1/2 copo tipo requeijao de acucar 1/2 copo tipo requeijao de oleo 2 copos de leite morno 1 pitada de sal 2 ovos
doces-e-sobremesas,3MIN,1 porção,1/2 xicara cha de milho de pipoca 1 saco de pao vazio
bolos-e-tortas-doces,30MIN,8 porções,2 ovos 3/4 de xicara de oleo 1 xicara de agua fervendo 2 xicaras de farinha de trigo 2 xicaras de acucar 2 colheres de fermento em po 4 bananas d'agua acucar e canela para polvilhar o bolo
carnes,50MIN,5 porções, 1/2 kg de carne moida 1 cebola 1 ovo 1 pao frances amanhecido ralado 2 colheres sopa de leite 1 batata cozida e espremida 2 colheres sopa de salsinha picada 3 colheres sopa de pimentao vermelho sal a gosto pimenta-do-reino 200 g de queijo mussarela ralado 100 g de presunto farinha de rosca
aves,60MIN,6 porções,1 kg de peito de frango picado em cubos 1 lata de milho verde 1 vidro de palmito picado 2 copos de requeijao cremoso 1 cebola picada 4 dentes de alho picado 1 lata de extrato de tomate
peixes-e-frutos-do-mar,60MIN,5 porções,2 xicaras de arroz branco polido muito bem lavado e escorrido  4 xicaras de agua fervente 1 envelope de sazon 1 cebola media bem picada 5 dentes medios de alho amassado 1 kg de mariscos limpos com casca cheiro verde bem picado oleo 2 xicaras de arroz parboilizado sem lavar 5 xicaras de agua 1 envelope de sazon 1 cebola media 5 dentes medios de alho 2 tomates 1 kg de mariscos limpos com casca cheiro verde bem picado
massas,15MIN,2 porções,500 g de espaguetti 3 colheres de sopa de manteiga 4 colheres de sopa de azeite de oliva salsinha picada a gosto sal a gosto 3 ovos inteiros 1 xicara de cha de queijo parmesao ralado 1 xicara de cha de bacon cortado em cubinhos 2 xicaras de cha de creme de leite fresco
doces-e-sobremesas,30MIN,10 porções,1 lata de leite condensado 1 lata ou caixa de creme de leite 3 colheres de sopa de chocolate em po 1 colher cha de margarina bolinhas coloridas cerejas morango ou o que quiser para decorar
bolos-e-tortas-doces,60MIN,16 porções,1 xicara de nata 4 ovos 1 xicara de maizena 2 xicaras de farinha de trigo 1 xicara de leite 2 xicaras de acucar 1 colher sopa de fermento em po royal
carnes,30MIN,4 porções,1 kg de carne moida magra 1 pacote de sopa de cebola 1 ovo mais ou menos 3 colheres de sopa de farinha de trigo 1 colher de shoyu sal se precisar
aves,60MIN,6 porções,1kg de file de peito de frango sal alho ervas limao e pimenta a gosto 1/2 copo de vinho branco 2 colheres de sopa de molho de tomate 2 colheres de sopa de catchup farinha de trigo para engrossar 1 copo de leite 2 colheres de sopa de manteiga ou margarina 1 cebola em fatias finas 3 cenouras cortadas em palitos finos 300g de pupunha fresco desfiado ou 1 vidro de palmito desfiado
peixes-e-frutos-do-mar,30MIN,4 porções,1 kg de camarao medio limpo 3 colheres de sopa de manteiga meia cebola media picada 2 tomates sem pele e sem semente picados 3 colheres de sopa de molho de tomate 250 gramas de requeijao suco de meio limao folhas de alfavaca sal a gosto pimenta branca a gosto ervas finas a gosto
massas,90MIN,40 porções,3 ovos 3 colheres de sopa de margarina 1 colher cha de sal 250 ml de leite morno 30 g de fermento fresco 5 colheres sopa de acucar 700 g de farinha de trigo
doces-e-sobremesas,40MIN,6 porções,1 lata de leite condensado 1 lata de creme de leite 1 xicara e meia cha de suco de maracuja concentrado meio pote de sorvete kibon chicabon para regar calda de chocolate para decorar cereja para preparar 6 tacas de sobremesa
bolos-e-tortas-doces,60MIN,24 porções,3 ovos inteiros 1 copo de leite 1/2 copo de oleo 2 copos de fuba 2 copos de acucar 2 colheres de farinha de trigo 1 colher rasa de fermento em po
carnes,90MIN,6 porções,15 kg de costelinha de porco peca inteira 6 colheres de mel sal grosso
aves,30MIN,5 porções,1 kg de peito de frango desfiado 1 cebola 1 lata de creme de leite oregano 3 colheres de sopa de margarina mussarela a gosto molho de tomate 2 cubos de caldo de galinha dissolvidos em 20 ml de agua fervente
peixes-e-frutos-do-mar,180MIN,10 porções,1 tambaqui de 5 kg ou outro peixe de escamas 3 pimentas de cheiro 4 tomates medios em cubos pequenos 1 pimentao verde pequenos em cubos 2 cebolas medias picadas 1 maco pequeno de cheiro verde picado em finos pedacos azeite vinagre sal a gosto farinha de mandioca fina 4 cabecas de alho limao para limpar o peixe
massas,40MIN,250 porções,1 kg de trigo sem fermento 1 litro de leie integral 1/2 litro de agua 4 colheres sopa rasas de margarina 1 cebola pequena picadinha 2 caldos de galinha 1 colher de salsa picadinho 1 colher de sobremesa de molho de tomate
doces-e-sobremesas,20MIN,1 porção,2 xicaras de leite integral 3 colheres sopa de acucar 5 colheres de aveia flocos finos  canela para polvilhar
